product,uf,volume,unit,year_month,created_at
ÓLEO DIESEL MARÍTIMO ,DISTRITO FEDERAL,0.0,m3,2013-01-01,2023-10-14
ÓLEO DIESEL (OUTROS ) ,RONDÔNIA,10.0,m3,2013-01-01,2023-10-14
ÓLEO DIESEL (OUTROS ) ,ACRE,0.0,m3,2013-01-01,2023-10-14
ÓLEO DIESEL (OUTROS ) ,AMAZONAS,0.0,m3,2013-01-01,2023-10-14
ÓLEO DIESEL (OUTROS ) ,RORAIMA,0.0,m3,2013-01-01,2023-10-14
ÓLEO DIESEL (OUTROS ) ,PARÁ,0.0,m3,2013-01-01,2023-10-14
ÓLEO DIESEL (OUTROS ) ,AMAPÁ,0.0,m3,2013-01-01,2023-10-14
ÓLEO DIESEL (OUTROS ) ,TOCANTINS,0.0,m3,2013-01-01,2023-10-14
ÓLEO DIESEL (OUTROS ) ,MARANHÃO,0.0,m3,2013-01-01,2023-10-14
ÓLEO DIESEL (OUTROS ) ,PIAUÍ,0.0,m3,2013-01-01,2023-10-14
ÓLEO DIESEL (OUTROS ) ,CEARÁ,0.0,m3,2013-01-01,2023-10-14
ÓLEO DIESEL (OUTROS ) ,RIO GRANDE DO NORTE,0.0,m3,2013-01-01,2023-10-14
ÓLEO DIESEL (OUTROS ) ,PARAÍBA,0.0,m3,2013-01-01,2023-10-14
ÓLEO DIESEL (OUTROS ) ,PERNAMBUCO,0.0,m3,2013-01-01,2023-10-14
ÓLEO DIESEL (OUTROS ) ,ALAGOAS,0.0,m3,2013-01-01,2023-10-14
ÓLEO DIESEL (OUTROS ) ,SERGIPE,0.0,m3,2013-01-01,2023-10-14
ÓLEO DIESEL (OUTROS ) ,BAHIA,0.0,m3,2013-01-01,2023-10-14
ÓLEO DIESEL (OUTROS ) ,MINAS GERAIS,2.491,m3,2013-01-01,2023-10-14
ÓLEO DIESEL (OUTROS ) ,ESPÍRITO SANTO,0.0,m3,2013-01-01,2023-10-14
ÓLEO DIESEL (OUTROS ) ,RIO DE JANEIRO,893.606,m3,2013-01-01,2023-10-14
ÓLEO DIESEL (OUTROS ) ,SÃO PAULO,1691.852,m3,2013-01-01,2023-10-14
ÓLEO DIESEL (OUTROS ) ,PARANÁ,89.777,m3,2013-01-01,2023-10-14
ÓLEO DIESEL (OUTROS ) ,SANTA CATARINA,20.0,m3,2013-01-01,2023-10-14
ÓLEO DIESEL (OUTROS ) ,RIO GRANDE DO SUL,3933.312,m3,2013-01-01,2023-10-14
ÓLEO DIESEL (OUTROS ) ,MATO GROSSO DO SUL,30.0,m3,2013-01-01,2023-10-14
ÓLEO DIESEL (OUTROS ) ,MATO GROSSO,0.0,m3,2013-01-01,2023-10-14
ÓLEO DIESEL (OUTROS ) ,GOIÁS,0.0,m3,2013-01-01,2023-10-14
ÓLEO DIESEL (OUTROS ) ,DISTRITO FEDERAL,0.0,m3,2013-01-01,2023-10-14
ÓLEO DIESEL S-10 ,RONDÔNIA,12517.9,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-10 ,ACRE,2253.0,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-10 ,AMAZONAS,7952.262,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-10 ,RORAIMA,1856.6,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-10 ,PARÁ,46813.45,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-10 ,AMAPÁ,891.0,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-10 ,TOCANTINS,15295.6,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-10 ,MARANHÃO,20226.5,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-10 ,PIAUÍ,167251.68,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-10 ,CEARÁ,61558.161,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-10 ,RIO GRANDE DO NORTE,8367.0,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-10 ,PARAÍBA,13239.87,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-10 ,PERNAMBUCO,68334.0,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-10 ,ALAGOAS,9001.5,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-10 ,SERGIPE,10641.5,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-10 ,BAHIA,62844.116,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-10 ,MINAS GERAIS,122718.383,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-10 ,ESPÍRITO SANTO,19840.35,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-10 ,RIO DE JANEIRO,96899.815,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-10 ,SÃO PAULO,266790.807,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-10 ,PARANÁ,77543.666,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-10 ,SANTA CATARINA,612054.306,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-10 ,RIO GRANDE DO SUL,60585.175,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-10 ,MATO GROSSO DO SUL,28238.2,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-10 ,MATO GROSSO,40309.371,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-10 ,GOIÁS,50630.481,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-10 ,DISTRITO FEDERAL,15254.853,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-500 ,RONDÔNIA,59527.8,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-500 ,ACRE,11907.08,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-500 ,AMAZONAS,23598.5,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-500 ,RORAIMA,8780.2,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-500 ,PARÁ,109966.713,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-500 ,AMAPÁ,32269.1,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-500 ,TOCANTINS,49772.45,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-500 ,MARANHÃO,968961.4189999999,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-500 ,PIAUÍ,36010.8,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-500 ,CEARÁ,42096.5,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-500 ,RIO GRANDE DO NORTE,54424.05,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-500 ,PARAÍBA,32443.66,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-500 ,PERNAMBUCO,88770.5,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-500 ,ALAGOAS,21169.4,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-500 ,SERGIPE,18352.5,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-500 ,BAHIA,230482.933,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-500 ,MINAS GERAIS,499814.073,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-500 ,ESPÍRITO SANTO,76565.994,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-500 ,RIO DE JANEIRO,118600.961,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-500 ,SÃO PAULO,648227.785,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-500 ,PARANÁ,4120736.249,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-500 ,SANTA CATARINA,138683.52,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-500 ,RIO GRANDE DO SUL,249793.122,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-500 ,MATO GROSSO DO SUL,108645.1,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-500 ,MATO GROSSO,205202.443,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-500 ,GOIÁS,245885.068,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-500 ,DISTRITO FEDERAL,23053.277,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-1800 ,RONDÔNIA,0.0,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-1800 ,ACRE,0.0,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-1800 ,AMAZONAS,64226.892,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-1800 ,RORAIMA,0.0,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-1800 ,PARÁ,5560.815,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-1800 ,AMAPÁ,0.0,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-1800 ,TOCANTINS,20.0,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-1800 ,MARANHÃO,0.0,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-1800 ,PIAUÍ,0.0,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-1800 ,CEARÁ,0.0,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-1800 ,RIO GRANDE DO NORTE,0.0,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-1800 ,PARAÍBA,0.0,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-1800 ,PERNAMBUCO,0.0,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-1800 ,ALAGOAS,0.0,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-1800 ,SERGIPE,0.0,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-1800 ,BAHIA,0.0,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-1800 ,MINAS GERAIS,2658.18,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-1800 ,ESPÍRITO SANTO,0.0,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-1800 ,RIO DE JANEIRO,931.017,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-1800 ,SÃO PAULO,217410.257,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-1800 ,PARANÁ,0.0,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-1800 ,SANTA CATARINA,0.0,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-1800 ,RIO GRANDE DO SUL,0.0,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-1800 ,MATO GROSSO DO SUL,0.0,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-1800 ,MATO GROSSO,1155.24,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-1800 ,GOIÁS,673.95,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-1800 ,DISTRITO FEDERAL,0.0,m3,2014-01-01,2023-10-14
ÓLEO DIESEL MARÍTIMO ,RONDÔNIA,842.4,m3,2014-01-01,2023-10-14
ÓLEO DIESEL MARÍTIMO ,ACRE,55.0,m3,2014-01-01,2023-10-14
ÓLEO DIESEL MARÍTIMO ,AMAZONAS,10470.421,m3,2014-01-01,2023-10-14
ÓLEO DIESEL MARÍTIMO ,RORAIMA,0.0,m3,2014-01-01,2023-10-14
ÓLEO DIESEL MARÍTIMO ,PARÁ,6713.9,m3,2014-01-01,2023-10-14
ÓLEO DIESEL MARÍTIMO ,AMAPÁ,1754.0,m3,2014-01-01,2023-10-14
ÓLEO DIESEL MARÍTIMO ,TOCANTINS,0.0,m3,2014-01-01,2023-10-14
ÓLEO DIESEL MARÍTIMO ,MARANHÃO,119.0,m3,2014-01-01,2023-10-14
ÓLEO DIESEL MARÍTIMO ,PIAUÍ,255.0,m3,2014-01-01,2023-10-14
ÓLEO DIESEL MARÍTIMO ,CEARÁ,895.0,m3,2014-01-01,2023-10-14
ÓLEO DIESEL MARÍTIMO ,RIO GRANDE DO NORTE,530.0,m3,2014-01-01,2023-10-14
ÓLEO DIESEL MARÍTIMO ,PARAÍBA,78.0,m3,2014-01-01,2023-10-14
ÓLEO DIESEL MARÍTIMO ,PERNAMBUCO,627.0,m3,2014-01-01,2023-10-14
ÓLEO DIESEL MARÍTIMO ,ALAGOAS,35.0,m3,2014-01-01,2023-10-14
ÓLEO DIESEL MARÍTIMO ,SERGIPE,125.0,m3,2014-01-01,2023-10-14
